feature,model,train_acc,val_acc
logmel,cnn,0.5625,0.6666666666666666
mfcc,cnn,0.625,0.9166666666666666
logmel,cnn_lr0.0001_b4_e5,0.5625,0.5833333333333334
logmel,cnn_lr0.0001_b4_e10,0.6041666666666666,0.75
logmel,cnn_lr0.0001_b8_e5,0.4791666666666667,0.75
logmel,cnn_lr0.0001_b8_e10,0.5208333333333334,0.75
logmel,cnn_lr0.0003_b4_e5,0.6041666666666666,0.8333333333333334
logmel,cnn_lr0.0003_b4_e10,0.5208333333333334,0.8333333333333334
logmel,cnn_lr0.0003_b8_e5,0.5208333333333334,0.9166666666666666
logmel,cnn_lr0.0003_b8_e10,0.625,0.75
logmel,cnn_lr0.001_b4_e5,0.5416666666666666,0.75
logmel,cnn_lr0.001_b4_e10,0.5208333333333334,0.75
logmel,cnn_lr0.001_b8_e5,0.5,0.75
logmel,cnn_lr0.001_b8_e10,0.5625,0.75
mfcc,cnn_lr0.0001_b4_e5,0.5833333333333334,0.9166666666666666
mfcc,cnn_lr0.0001_b4_e10,0.6666666666666666,1.0
mfcc,cnn_lr0.0001_b8_e5,0.5833333333333334,0.9166666666666666
mfcc,cnn_lr0.0001_b8_e10,0.625,0.8333333333333334
mfcc,cnn_lr0.0003_b4_e5,0.625,0.9166666666666666
mfcc,cnn_lr0.0003_b4_e10,0.6458333333333334,0.9166666666666666
mfcc,cnn_lr0.0003_b8_e5,0.625,0.9166666666666666
mfcc,cnn_lr0.0003_b8_e10,0.625,0.9166666666666666
mfcc,cnn_lr0.001_b4_e5,0.7083333333333334,0.9166666666666666
mfcc,cnn_lr0.001_b4_e10,0.5416666666666666,0.9166666666666666
mfcc,cnn_lr0.001_b8_e5,0.5833333333333334,0.9166666666666666
mfcc,cnn_lr0.001_b8_e10,0.8541666666666666,1.0
mfcc,cnn_lr0.0001,0.7083333333333334,0.9166666666666666
mfcc,cnn_lr0.001,0.8541666666666666,0.8333333333333334
mfcc,lstm_lr0.0001,0.5,0.5
mfcc,lstm_lr0.001,0.5,0.5
logmel,cnn_lr0.0001,0.6458333333333334,0.8333333333333334
logmel,cnn_lr0.001,0.4791666666666667,0.8333333333333334
logmel,lstm_lr0.0001,0.5,0.5
logmel,lstm_lr0.001,0.5,0.5
chroma,cnn_lr0.0001,0.5,0.5
chroma,cnn_lr0.001,0.5208333333333334,0.5
chroma,lstm_lr0.0001,0.5,0.5
chroma,lstm_lr0.001,0.5,0.5
mfcc,cnn_lr0.0001,0.5,0.6666666666666666
mfcc,cnn_lr0.001,0.6041666666666666,0.9166666666666666
mfcc,lstm_lr0.0001,0.5,0.5
mfcc,lstm_lr0.001,0.4583333333333333,0.5
logmel,cnn_lr0.0001,0.625,0.6666666666666666
logmel,cnn_lr0.001,0.7083333333333334,0.8333333333333334
logmel,lstm_lr0.0001,0.5,0.5
logmel,lstm_lr0.001,0.5,0.5
chroma,cnn_lr0.0001,0.5,0.5
chroma,cnn_lr0.001,0.3958333333333333,0.6666666666666666
chroma,lstm_lr0.0001,0.5,0.5
chroma,lstm_lr0.001,0.5,0.5
